metro_area,year,month,unemployment_rate
61817,"Redding, CA MSA",2003,01,7.2
61818,"Riverside-San Bernardino-Ontario, CA MSA",2003,01,6.4
61819,"Sacramento--Roseville--Arden-Arcade, CA MSA",2003,01,5.7
61820,"Salinas, CA MSA",2003,01,8.9
61821,"San Diego-Carlsbad, CA MSA",2003,01,5.3
61822,"San Francisco-Oakland-Hayward, CA MSA",2003,01,6.4
61823,"San Jose-Sunnyvale-Santa Clara, CA MSA",2003,01,8.8
61824,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",2003,01,4.8
61825,"Santa Cruz-Watsonville, CA MSA",2003,01,7.9
61826,"Santa Maria-Santa Barbara, CA MSA",2003,01,5.2
61827,"Santa Rosa, CA MSA",2003,01,5.4
61828,"Stockton-Lodi, CA MSA",2003,01,9.1
61829,"Vallejo-Fairfield, CA MSA",2003,01,6.2
61830,"Visalia-Porterville, CA MSA",2003,01,12.4
61831,"Yuba City, CA MSA",2003,01,10.9
61832,"Boulder, CO MSA",2003,01,5.7
61833,"Colorado Springs, CO MSA",2003,01,6.1
61834,"Denver-Aurora-Lakewood, CO MSA",2003,01,6.1
61835,"Fort Collins, CO MSA",2003,01,4.9
61836,"Grand Junction, CO MSA",2003,01,5.1
61837,"Greeley, CO MSA",2003,01,5.5
61838,"Pueblo, CO MSA",2003,01,7.2
61839,"Bridgeport-Stamford-Norwalk, CT Met NECTA",2003,01,5.0
61840,"Danbury, CT Met NECTA",2003,01,4.0
61841,"Hartford-West Hartford-East Hartford, CT Met NECTA",2003,01,5.7
61842,"New Haven, CT Met NECTA",2003,01,5.2
61843,"Norwich-New London-Westerly, CT-RI Met NECTA",2003,01,4.7
61844,"Waterbury, CT Met NECTA",2003,01,6.8
61845,"Dover, DE MSA",2003,01,4.2
61846,"Salisbury, MD-DE MSA",2003,01,4.6
61847,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2003,01,3.9
61848,"Cape Coral-Fort Myers, FL MSA",2003,01,4.9
61849,"Crestview-Fort Walton Beach-Destin, FL MSA",2003,01,4.1
61850,"Deltona-Daytona Beach-Ormond Beach, FL MSA",2003,01,5.4
61851,"Gainesville, FL MSA",2003,01,3.9
61852,"Homosassa Springs, FL MSA",2003,01,6.5
61853,"Jacksonville, FL MSA",2003,01,5.2
61854,"Lakeland-Winter Haven, FL MSA",2003,01,5.7
61855,"Miami-Fort Lauderdale-West Palm Beach, FL MSA",2003,01,5.4
61856,"Naples-Immokalee-Marco Island, FL MSA",2003,01,5.2
61857,"North Port-Sarasota-Bradenton, FL MSA",2003,01,4.8
61858,"Ocala, FL MSA",2003,01,5.6
61859,"Orlando-Kissimmee-Sanford, FL MSA",2003,01,5.4
61860,"Palm Bay-Melbourne-Titusville, FL MSA",2003,01,5.6
61861,"Panama City, FL MSA",2003,01,5.6
61862,"Pensacola-Ferry Pass-Brent, FL MSA",2003,01,5.2
61863,"Port St. Lucie, FL MSA",2003,01,6.3
61864,"Punta Gorda, FL MSA",2003,01,5.7
61865,"Sebastian-Vero Beach, FL MSA",2003,01,6.7
61866,"Sebring, FL MSA",2003,01,5.9
61867,"Tallahassee, FL MSA",2003,01,4.5
61868,"Tampa-St. Petersburg-Clearwater, FL MSA",2003,01,5.6
61869,"The Villages, FL MSA",2003,01,5.5
61870,"Albany, GA MSA",2003,01,5.3
61871,"Athens-Clarke County, GA MSA",2003,01,3.8
61872,"Atlanta-Sandy Springs-Roswell, GA MSA",2003,01,5.1
61873,"Augusta-Richmond County, GA-SC MSA",2003,01,5.2
61874,"Brunswick, GA MSA",2003,01,4.5
61875,"Columbus, GA-AL MSA",2003,01,5.5
61876,"Dalton, GA MSA",2003,01,4.3
61877,"Gainesville, GA MSA",2003,01,4.3
61878,"Hinesville, GA MSA",2003,01,5.6
61879,"Macon-Bibb County, GA MSA",2003,01,4.9
61880,"Rome, GA MSA",2003,01,4.8
61881,"Savannah, GA MSA",2003,01,4.1
61882,"Valdosta, GA MSA",2003,01,3.8
61883,"Warner Robins, GA MSA",2003,01,4.2
61884,"Kahului-Wailuku-Lahaina, HI MSA",2003,01,3.6
61885,"Urban Honolulu, HI MSA",2003,01,3.7
61886,"Boise City, ID MSA",2003,01,5.2
61887,"Coeur d'Alene, ID MSA",2003,01,6.9
61888,"Idaho Falls, ID MSA",2003,01,3.7
61889,"Lewiston, ID-WA MSA",2003,01,5.9
61890,"Pocatello, ID MSA",2003,01,5.2
61891,"Twin Falls, ID MSA",2003,01,4.3
61892,"Bloomington, IL MSA",2003,01,4.1
61893,"Carbondale-Marion, IL MSA",2003,01,5.5
61894,"Champaign-Urbana, IL MSA",2003,01,4.2
61895,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2003,01,6.8
61896,"Danville, IL MSA",2003,01,7.5
61897,"Davenport-Moline-Rock Island, IA-IL MSA",2003,01,5.2
61898,"Decatur, IL MSA",2003,01,7.5
61899,"Kankakee, IL MSA",2003,01,6.8
61900,"Peoria, IL MSA",2003,01,5.7
61901,"Rockford, IL MSA",2003,01,7.5
61902,"Springfield, IL MSA",2003,01,5.0
61903,"Bloomington, IN MSA",2003,01,4.4
61904,"Columbus, IN MSA",2003,01,4.5
61905,"Elkhart-Goshen, IN MSA",2003,01,4.4
61906,"Evansville, IN-KY MSA",2003,01,4.5
61907,"Fort Wayne, IN MSA",2003,01,4.7
61908,"Indianapolis-Carmel-Anderson, IN MSA",2003,01,4.6
61909,"Kokomo, IN MSA",2003,01,5.7
61910,"Lafayette-West Lafayette, IN MSA",2003,01,4.5
61911,"Michigan City-La Porte, IN MSA",2003,01,6.5
61912,"Muncie, IN MSA",2003,01,6.0
61913,"South Bend-Mishawaka, IN-MI MSA",2003,01,5.0
61914,"Terre Haute, IN MSA",2003,01,5.7
61915,"Ames, IA MSA",2003,01,2.8
61916,"Cedar Rapids, IA MSA",2003,01,4.8
61917,"Des Moines-West Des Moines, IA MSA",2003,01,3.9
61918,"Dubuque, IA MSA",2003,01,4.1
61919,"Iowa City, IA MSA",2003,01,3.0
61920,"Sioux City, IA-NE-SD MSA",2003,01,4.0
61921,"Waterloo-Cedar Falls, IA MSA",2003,01,4.1
61922,"Lawrence, KS MSA",2003,01,3.7
61923,"Manhattan, KS MSA",2003,01,3.5
61924,"Topeka, KS MSA",2003,01,4.6
61925,"Wichita, KS MSA",2003,01,6.1
61926,"Bowling Green, KY MSA",2003,01,6.2
61927,"Elizabethtown-Fort Knox, KY MSA",2003,01,5.5
61928,"Lexington-Fayette, KY MSA",2003,01,4.7
61929,"Louisville/Jefferson County, KY-IN MSA",2003,01,5.5
61930,"Owensboro, KY MSA",2003,01,6.1
61931,"Alexandria, LA MSA",2003,01,6.5
61932,"Baton Rouge, LA MSA",2003,01,6.3
61933,"Hammond, LA MSA",2003,01,7.2
61934,"Houma-Thibodaux, LA MSA",2003,01,4.8
61935,"Lafayette, LA MSA",2003,01,5.7
61936,"Lake Charles, LA MSA",2003,01,6.2
61937,"Monroe, LA MSA",2003,01,6.0
61938,"New Orleans-Metairie, LA MSA",2003,01,5.7
61939,"Shreveport-Bossier City, LA MSA",2003,01,7.1
61940,"Bangor, ME Met NECTA",2003,01,4.3
61941,"Lewiston-Auburn, ME Met NECTA",2003,01,4.7
61942,"Portland-South Portland, ME Met NECTA",2003,01,3.4
61943,"Baltimore-Columbia-Towson, MD MSA",2003,01,4.8
61944,"California-Lexington Park, MD MSA",2003,01,3.5
61945,"Cumberland, MD-WV MSA",2003,01,6.1
61946,"Hagerstown-Martinsburg, MD-WV MSA",2003,01,4.9
61947,"Barnstable Town, MA Met NECTA",2003,01,4.7
61948,"Boston-Cambridge-Nashua, MA-NH Met NECTA",2003,01,5.5
61949,"Leominster-Gardner, MA Met NECTA",2003,01,6.7
61950,"New Bedford, MA Met NECTA",2003,01,7.7
61951,"Pittsfield, MA Met NECTA",2003,01,5.0
61952,"Springfield, MA-CT Met NECTA",2003,01,5.6
61953,"Worcester, MA-CT Met NECTA",2003,01,5.9
61954,"Ann Arbor, MI MSA",2003,01,3.7
61955,"Battle Creek, MI MSA",2003,01,6.7
61956,"Bay City, MI MSA",2003,01,7.0
61957,"Detroit-Warren-Dearborn, MI MSA",2003,01,6.8
61958,"Flint, MI MSA",2003,01,7.8
61959,"Grand Rapids-Wyoming, MI MSA",2003,01,6.4
61960,"Jackson, MI MSA",2003,01,7.5
61961,"Kalamazoo-Portage, MI MSA",2003,01,5.3
61962,"Lansing-East Lansing, MI MSA",2003,01,4.8
61963,"Midland, MI MSA",2003,01,5.7
61964,"Monroe, MI MSA",2003,01,5.4
61965,"Muskegon, MI MSA",2003,01,8.8
61966,"Niles-Benton Harbor, MI MSA",2003,01,6.4
61967,"Saginaw, MI MSA",2003,01,8.1
61968,"Duluth, MN-WI MSA",2003,01,5.7
61969,"Mankato-North Mankato, MN MSA",2003,01,3.6
61970,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",2003,01,4.4
61971,"Rochester, MN MSA",2003,01,4.0
61972,"St. Cloud, MN MSA",2003,01,4.7
61973,"Gulfport-Biloxi-Pascagoula, MS MSA",2003,01,5.6
61974,"Hattiesburg, MS MSA",2003,01,5.3
61975,"Jackson, MS MSA",2003,01,5.4
61976,"Cape Girardeau, MO-IL MSA",2003,01,4.7
61977,"Columbia, MO MSA",2003,01,3.3
61978,"Jefferson City, MO MSA",2003,01,4.2
61979,"Joplin, MO MSA",2003,01,5.5
61980,"Kansas City, MO-KS MSA",2003,01,5.6
61981,"St. Joseph, MO-KS MSA",2003,01,5.8
61982,"St. Louis, MO-IL MSA",2003,01,5.4
61983,"Springfield, MO MSA",2003,01,4.5
61984,"Billings, MT MSA",2003,01,3.6
61985,"Great Falls, MT MSA",2003,01,4.3
61986,"Missoula, MT MSA",2003,01,4.0
61987,"Grand Island, NE MSA",2003,01,4.3
61988,"Lincoln, NE MSA",2003,01,3.4
61989,"Omaha-Council Bluffs, NE-IA MSA",2003,01,4.1
61990,"Carson City, NV MSA",2003,01,5.5
61991,"Las Vegas-Henderson-Paradise, NV MSA",2003,01,5.5
61992,"Reno, NV MSA",2003,01,4.5
61993,"Dover-Durham, NH-ME Met NECTA",2003,01,4.5
61994,"Manchester, NH Met NECTA",2003,01,4.2
61995,"Portsmouth, NH-ME Met NECTA",2003,01,4.2
61996,"Atlantic City-Hammonton, NJ MSA",2003,01,6.0
61997,"Ocean City, NJ MSA",2003,01,8.2
61998,"Trenton, NJ MSA",2003,01,5.3
61999,"Vineland-Bridgeton, NJ MSA",2003,01,7.8
62000,"Albuquerque, NM MSA",2003,01,5.2
62001,"Farmington, NM MSA",2003,01,6.7
62002,"Las Cruces, NM MSA",2003,01,6.3
62003,"Santa Fe, NM MSA",2003,01,4.0
62004,"Albany-Schenectady-Troy, NY MSA",2003,01,4.1
62005,"Binghamton, NY MSA",2003,01,5.6
62006,"Buffalo-Cheektowaga-Niagara Falls, NY MSA",2003,01,5.5
62007,"Elmira, NY MSA",2003,01,6.2
62008,"Glens Falls, NY MSA",2003,01,4.6
62009,"Ithaca, NY MSA",2003,01,3.8
62010,"Kingston, NY MSA",2003,01,4.2
62011,"New York-Newark-Jersey City, NY-NJ-PA MSA",2003,01,6.5
62012,"Rochester, NY MSA",2003,01,5.4
62013,"Syracuse, NY MSA",2003,01,5.1
62014,"Utica-Rome, NY MSA",2003,01,5.2
62015,"Watertown-Fort Drum, NY MSA",2003,01,6.5
62016,"Asheville, NC MSA",2003,01,5.0
62017,"Burlington, NC MSA",2003,01,7.2
62018,"Charlotte-Concord-Gastonia, NC-SC MSA",2003,01,6.3
62019,"Durham-Chapel Hill, NC MSA",2003,01,5.5
62020,"Fayetteville, NC MSA",2003,01,6.5
62021,"Goldsboro, NC MSA",2003,01,6.2
62022,"Greensboro-High Point, NC MSA",2003,01,6.4
62023,"Greenville, NC MSA",2003,01,6.3
62024,"Hickory-Lenoir-Morganton, NC MSA",2003,01,7.8
62025,"Jacksonville, NC MSA",2003,01,6.7
62026,"New Bern, NC MSA",2003,01,5.7
62027,"Raleigh, NC MSA",2003,01,5.6
62028,"Rocky Mount, NC MSA",2003,01,8.7
62029,"Wilmington, NC MSA",2003,01,6.2
62030,"Winston-Salem, NC MSA",2003,01,5.9
62031,"Bismarck, ND MSA",2003,01,3.4
62032,"Fargo, ND-MN MSA",2003,01,3.1
62033,"Grand Forks, ND-MN MSA",2003,01,4.0
62034,"Akron, OH MSA",2003,01,6.2
62035,"Canton-Massillon, OH MSA",2003,01,6.7
62036,"Cincinnati, OH-KY-IN MSA",2003,01,5.4
62037,"Cleveland-Elyria, OH MSA",2003,01,5.3
62038,"Columbus, OH MSA",2003,01,5.6
62039,"Dayton, OH MSA",2003,01,6.2
62040,"Lima, OH MSA",2003,01,7.0
62041,"Mansfield, OH MSA",2003,01,7.0
62042,"Springfield, OH MSA",2003,01,7.7
62043,"Toledo, OH MSA",2003,01,6.9
62044,"Weirton-Steubenville, WV-OH MSA",2003,01,6.4
62045,"Youngstown-Warren-Boardman, OH-PA MSA",2003,01,7.0
62046,"Enid, OK MSA",2003,01,4.0
62047,"Lawton, OK MSA",2003,01,4.1
62048,"Oklahoma City, OK MSA",2003,01,4.8
62049,"Tulsa, OK MSA",2003,01,5.8
62050,"Albany, OR MSA",2003,01,9.2
62051,"Bend-Redmond, OR MSA",2003,01,7.6
62052,"Corvallis, OR MSA",2003,01,5.6
62053,"Eugene, OR MSA",2003,01,7.2
62054,"Grants Pass, OR MSA",2003,01,8.4
62055,"Medford, OR MSA",2003,01,7.3
62056,"Portland-Vancouver-Hillsboro, OR-WA MSA",2003,01,8.0
62057,"Salem, OR MSA",2003,01,7.3
62058,"Allentown-Bethlehem-Easton, PA-NJ MSA",2003,01,5.8
62059,"Altoona, PA MSA",2003,01,5.9
62060,"Bloomsburg-Berwick, PA MSA",2003,01,6.5
62061,"Chambersburg-Waynesboro, PA MSA",2003,01,4.7
62062,"East Stroudsburg, PA MSA",2003,01,6.2
62063,"Erie, PA MSA",2003,01,6.8
62064,"Gettysburg, PA MSA",2003,01,4.2
62065,"Harrisburg-Carlisle, PA MSA",2003,01,4.8
62066,"Johnstown, PA MSA",2003,01,7.4
62067,"Lancaster, PA MSA",2003,01,4.3
62068,"Lebanon, PA MSA",2003,01,4.4
62069,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2003,01,5.5
62070,"Pittsburgh, PA MSA",2003,01,6.0
62071,"Reading, PA MSA",2003,01,6.4
62072,"Scranton--Wilkes-Barre--Hazleton, PA MSA",2003,01,6.5
62073,"State College, PA MSA",2003,01,4.4
62074,"Williamsport, PA MSA",2003,01,6.0
62075,"York-Hanover, PA MSA",2003,01,5.1
62076,"Providence-Warwick, RI-MA Met NECTA",2003,01,5.6
62077,"Charleston-North Charleston, SC MSA",2003,01,5.0
62078,"Columbia, SC MSA",2003,01,5.3
62079,"Florence, SC MSA",2003,01,8.1
62080,"Greenville-Anderson-Mauldin, SC MSA",2003,01,6.0
62081,"Hilton Head Island-Bluffton-Beaufort, SC MSA",2003,01,4.8
62082,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",2003,01,5.8
62083,"Spartanburg, SC MSA",2003,01,7.4
62084,"Sumter, SC MSA",2003,01,7.2
62085,"Rapid City, SD MSA",2003,01,3.0
62086,"Sioux Falls, SD MSA",2003,01,2.8
62087,"Chattanooga, TN-GA MSA",2003,01,4.2
62088,"Clarksville, TN-KY MSA",2003,01,5.2
62089,"Cleveland, TN MSA",2003,01,4.9
62090,"Jackson, TN MSA",2003,01,6.0
62091,"Johnson City, TN MSA",2003,01,5.5
62092,"Kingsport-Bristol-Bristol, TN-VA MSA",2003,01,5.4
62093,"Knoxville, TN MSA",2003,01,4.3
62094,"Memphis, TN-MS-AR MSA",2003,01,5.4
62095,"Morristown, TN MSA",2003,01,5.5
62096,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2003,01,4.3
62097,"Abilene, TX MSA",2003,01,5.2
62098,"Amarillo, TX MSA",2003,01,4.8
62099,"Austin-Round Rock, TX MSA",2003,01,6.1
62100,"Beaumont-Port Arthur, TX MSA",2003,01,8.6
62101,"Brownsville-Harlingen, TX MSA",2003,01,9.4
62102,"College Station-Bryan, TX MSA",2003,01,4.7
62103,"Corpus Christi, TX MSA",2003,01,6.5
62104,"Dallas-Fort Worth-Arlington, TX MSA",2003,01,6.7
62105,"El Paso, TX MSA",2003,01,8.7
62106,"Houston-The Woodlands-Sugar Land, TX MSA",2003,01,6.5
62107,"Killeen-Temple, TX MSA",2003,01,6.3
62108,"Laredo, TX MSA",2003,01,7.4
62109,"Longview, TX MSA",2003,01,7.0
62110,"Lubbock, TX MSA",2003,01,4.6
62111,"McAllen-Edinburg-Mission, TX MSA",2003,01,10.8
62112,"Midland, TX MSA",2003,01,5.0
62113,"Odessa, TX MSA",2003,01,7.0
62114,"San Angelo, TX MSA",2003,01,5.1
62115,"San Antonio-New Braunfels, TX MSA",2003,01,6.0
62116,"Sherman-Denison, TX MSA",2003,01,6.6
62117,"Texarkana, TX-AR MSA",2003,01,5.8
62118,"Tyler, TX MSA",2003,01,5.7
62119,"Victoria, TX MSA",2003,01,5.8
62120,"Waco, TX MSA",2003,01,5.9
62121,"Wichita Falls, TX MSA",2003,01,5.8
62122,"Logan, UT-ID MSA",2003,01,4.3
62123,"Ogden-Clearfield, UT MSA",2003,01,5.8
62124,"Provo-Orem, UT MSA",2003,01,5.7
62125,"St. George, UT MSA",2003,01,5.5
62126,"Salt Lake City, UT MSA",2003,01,6.1
62127,"Burlington-South Burlington, VT Met NECTA",2003,01,3.9
62128,"Blacksburg-Christiansburg-Radford, VA MSA",2003,01,4.7
62129,"Charlottesville, VA MSA",2003,01,3.5
62130,"Harrisonburg, VA MSA",2003,01,3.7
62131,"Lynchburg, VA MSA",2003,01,5.0
62132,"Richmond, VA MSA",2003,01,4.3
62133,"Roanoke, VA MSA",2003,01,4.3
62134,"Staunton-Waynesboro, VA MSA",2003,01,3.8
62135,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2003,01,4.2
62136,"Winchester, VA-WV MSA",2003,01,4.0
62137,"Bellingham, WA MSA",2003,01,6.6
62138,"Bremerton-Silverdale, WA MSA",2003,01,7.0
62139,"Kennewick-Richland, WA MSA",2003,01,7.1
62140,"Longview, WA MSA",2003,01,10.1
62141,"Mount Vernon-Anacortes, WA MSA",2003,01,8.2
62142,"Olympia-Tumwater, WA MSA",2003,01,6.4
62143,"Seattle-Tacoma-Bellevue, WA MSA",2003,01,6.9
62144,"Spokane-Spokane Valley, WA MSA",2003,01,7.6
62145,"Walla Walla, WA MSA",2003,01,7.0
62146,"Wenatchee, WA MSA",2003,01,7.9
62147,"Yakima, WA MSA",2003,01,9.2
62148,"Beckley, WV MSA",2003,01,6.9
62149,"Charleston, WV MSA",2003,01,5.8
62150,"Huntington-Ashland, WV-KY-OH MSA",2003,01,6.0
62151,"Morgantown, WV MSA",2003,01,5.0
62152,"Parkersburg-Vienna, WV MSA",2003,01,6.2
62153,"Wheeling, WV-OH MSA",2003,01,6.5
62154,"Appleton, WI MSA",2003,01,5.5
62155,"Eau Claire, WI MSA",2003,01,5.4
62156,"Fond du Lac, WI MSA",2003,01,5.2
62157,"Green Bay, WI MSA",2003,01,5.6
62158,"Janesville-Beloit, WI MSA",2003,01,6.2
62159,"La Crosse-Onalaska, WI-MN MSA",2003,01,4.6
62160,"Madison, WI MSA",2003,01,3.9
62161,"Milwaukee-Waukesha-West Allis, WI MSA",2003,01,6.1
62162,"Oshkosh-Neenah, WI MSA",2003,01,5.2
62163,"Racine, WI MSA",2003,01,7.0
62164,"Sheboygan, WI MSA",2003,01,5.0
62165,"Wausau, WI MSA",2003,01,4.9
62166,"Casper, WY MSA",2003,01,4.4
62167,"Cheyenne, WY MSA",2003,01,4.3
62168,"Aguadilla-Isabela, PR MSA",2003,01,15.1
62169,"Arecibo, PR MSA",2003,01,13.7
62170,"Guayama, PR MSA",2003,01,17.7
62171,"Mayaguez, PR MSA",2003,01,14.5
62172,"Ponce, PR MSA",2003,01,14.0
62173,"San German, PR MSA",2003,01,13.1
62174,"San Juan-Carolina-Caguas, PR MSA",2003,01,10.5
62175,"Anniston-Oxford-Jacksonville, AL MSA",2003,02,5.7
62176,"Auburn-Opelika, AL MSA",2003,02,4.4
62177,"Birmingham-Hoover, AL MSA",2003,02,5.0
62178,"Daphne-Fairhope-Foley, AL MSA",2003,02,4.8
62179,"Decatur, AL MSA",2003,02,6.1
62180,"Dothan, AL MSA",2003,02,4.8
62181,"Florence-Muscle Shoals, AL MSA",2003,02,7.5
62182,"Gadsden, AL MSA",2003,02,6.3
62183,"Huntsville, AL MSA",2003,02,4.6
62184,"Mobile, AL MSA",2003,02,6.6
62185,"Montgomery, AL MSA",2003,02,5.4
62186,"Tuscaloosa, AL MSA",2003,02,5.2
62187,"Anchorage, AK MSA",2003,02,6.7
62188,"Fairbanks, AK MSA",2003,02,7.1
62189,"Flagstaff, AZ MSA",2003,02,5.6
62190,"Lake Havasu City-Kingman, AZ MSA",2003,02,5.1
62191,"Phoenix-Mesa-Scottsdale, AZ MSA",2003,02,5.5
62192,"Prescott, AZ MSA",2003,02,5.2
62193,"Sierra Vista-Douglas, AZ MSA",2003,02,5.9
62194,"Tucson, AZ MSA",2003,02,5.5
62195,"Yuma, AZ MSA",2003,02,17.2
62196,"Fayetteville-Springdale-Rogers, AR-MO MSA",2003,02,3.6
62197,"Fort Smith, AR-OK MSA",2003,02,5.4
62198,"Hot Springs, AR MSA",2003,02,6.2
62199,"Jonesboro, AR MSA",2003,02,5.7
62200,"Little Rock-North Little Rock-Conway, AR MSA",2003,02,5.0
62201,"Pine Bluff, AR MSA",2003,02,7.9
62202,"Bakersfield, CA MSA",2003,02,10.2
62203,"Chico, CA MSA",2003,02,7.5
62204,"El Centro, CA MSA",2003,02,14.9
62205,"Fresno, CA MSA",2003,02,12.2
62206,"Hanford-Corcoran, CA MSA",2003,02,12.3
62207,"Los Angeles-Long Beach-Anaheim, CA MSA",2003,02,6.3
62208,"Madera, CA MSA",2003,02,10.9
62209,"Merced, CA MSA",2003,02,11.5
62210,"Modesto, CA MSA",2003,02,9.9
62211,"Napa, CA MSA",2003,02,4.8
62212,"Oxnard-Thousand Oaks-Ventura, CA MSA",2003,02,5.8
62213,"Redding, CA MSA",2003,02,7.3
62214,"Riverside-San Bernardino-Ontario, CA MSA",2003,02,6.4
62215,"Sacramento--Roseville--Arden-Arcade, CA MSA",2003,02,5.7
62216,"Salinas, CA MSA",2003,02,8.9
62217,"San Diego-Carlsbad, CA MSA",2003,02,5.3
62218,"San Francisco-Oakland-Hayward, CA MSA",2003,02,6.4
62219,"San Jose-Sunnyvale-Santa Clara, CA MSA",2003,02,8.8
62220,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",2003,02,4.7
62221,"Santa Cruz-Watsonville, CA MSA",2003,02,7.9
62222,"Santa Maria-Santa Barbara, CA MSA",2003,02,5.1
62223,"Santa Rosa, CA MSA",2003,02,5.4
62224,"Stockton-Lodi, CA MSA",2003,02,9.1
62225,"Vallejo-Fairfield, CA MSA",2003,02,6.2
62226,"Visalia-Porterville, CA MSA",2003,02,12.4
62227,"Yuba City, CA MSA",2003,02,10.9
62228,"Boulder, CO MSA",2003,02,5.7
62229,"Colorado Springs, CO MSA",2003,02,6.1
62230,"Denver-Aurora-Lakewood, CO MSA",2003,02,6.2
62231,"Fort Collins, CO MSA",2003,02,4.9
62232,"Grand Junction, CO MSA",2003,02,5.2
62233,"Greeley, CO MSA",2003,02,5.6
62234,"Pueblo, CO MSA",2003,02,7.2
62235,"Bridgeport-Stamford-Norwalk, CT Met NECTA",2003,02,5.1
62236,"Danbury, CT Met NECTA",2003,02,4.0
62237,"Hartford-West Hartford-East Hartford, CT Met NECTA",2003,02,5.7
62238,"New Haven, CT Met NECTA",2003,02,5.3
62239,"Norwich-New London-Westerly, CT-RI Met NECTA",2003,02,4.7
62240,"Waterbury, CT Met NECTA",2003,02,6.9
62241,"Dover, DE MSA",2003,02,4.3
62242,"Salisbury, MD-DE MSA",2003,02,4.7
62243,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2003,02,3.9
62244,"Cape Coral-Fort Myers, FL MSA",2003,02,4.9
62245,"Crestview-Fort Walton Beach-Destin, FL MSA",2003,02,4.0
62246,"Deltona-Daytona Beach-Ormond Beach, FL MSA",2003,02,5.4
62247,"Gainesville, FL MSA",2003,02,3.9
62248,"Homosassa Springs, FL MSA",2003,02,6.5
62249,"Jacksonville, FL MSA",2003,02,5.2
62250,"Lakeland-Winter Haven, FL MSA",2003,02,5.7
62251,"Miami-Fort Lauderdale-West Palm Beach, FL MSA",2003,02,5.4
62252,"Naples-Immokalee-Marco Island, FL MSA",2003,02,5.2
62253,"North Port-Sarasota-Bradenton, FL MSA",2003,02,4.8
62254,"Ocala, FL MSA",2003,02,5.6
62255,"Orlando-Kissimmee-Sanford, FL MSA",2003,02,5.4
62256,"Palm Bay-Melbourne-Titusville, FL MSA",2003,02,5.6
62257,"Panama City, FL MSA",2003,02,5.6
62258,"Pensacola-Ferry Pass-Brent, FL MSA",2003,02,5.1
62259,"Port St. Lucie, FL MSA",2003,02,6.2
62260,"Punta Gorda, FL MSA",2003,02,5.6
62261,"Sebastian-Vero Beach, FL MSA",2003,02,6.7
62262,"Sebring, FL MSA",2003,02,5.8
62263,"Tallahassee, FL MSA",2003,02,4.5
62264,"Tampa-St. Petersburg-Clearwater, FL MSA",2003,02,5.6
