Job Title,City,State,Latitude,Longitude,Average Salary,Job Openings
School Counselor,Des Moines,IA,41.5910641,-93.6037149,20.42,29
Nurse Midwife,Des Moines,IA,41.5910641,-93.6037149,0,0
Paralegal,Des Moines,IA,41.5910641,-93.6037149,52541,3
Phlebotomist,Des Moines,IA,41.5910641,-93.6037149,11.59,33
Loan Officer,Des Moines,IA,41.5910641,-93.6037149,94685,13
Clinical Social Worker,Des Moines,IA,41.5910641,-93.6037149,0,31
Compliance Officer,Des Moines,IA,41.5910641,-93.6037149,66491,8
Dietitian and Nutritionist,Des Moines,IA,41.5910641,-93.6037149,0,0
Ophthalmic Medical Technician,Des Moines,IA,41.5910641,-93.6037149,0,3
Clinical Laboratory Technician,Des Moines,IA,41.5910641,-93.6037149,0,8
Licensed Practical and Licensed Vocational Nurse,Des Moines,IA,41.5910641,-93.6037149,0,0
Electrician,Des Moines,IA,41.5910641,-93.6037149,28.05,21
HR Specialist,Des Moines,IA,41.5910641,-93.6037149,0,21
Wind Turbine Technician,Des Moines,IA,41.5910641,-93.6037149,0,1
Logistician,Des Moines,IA,41.5910641,-93.6037149,0,0
Residential Advisor,Des Moines,IA,41.5910641,-93.6037149,0,4
Optician,Des Moines,IA,41.5910641,-93.6037149,18.19,3
Computer Support Specialist,Des Moines,IA,41.5910641,-93.6037149,0,1
Esthetician and Skincare Specialist,Des Moines,IA,41.5910641,-93.6037149,0,0
Restaurant Cook,Des Moines,IA,41.5910641,-93.6037149,0,121
Software Engineer,Fayetteville,AR,36.0625843,-94.1574328,48855,216
Dentist,Fayetteville,AR,36.0625843,-94.1574328,166151,9
Physician Assistant,Fayetteville,AR,36.0625843,-94.1574328,72921,40
Orthodontist,Fayetteville,AR,36.0625843,-94.1574328,0,5
Nurse Practitioner,Fayetteville,AR,36.0625843,-94.1574328,104703,22
Statistician,Fayetteville,AR,36.0625843,-94.1574328,0,0
Physician,Fayetteville,AR,36.0625843,-94.1574328,150043,26
Speech Language Pathologist,Fayetteville,AR,36.0625843,-94.1574328,34.1,13
Oral and Maxillofacial Surgeon,Fayetteville,AR,36.0625843,-94.1574328,0,0
Veterinarian,Fayetteville,AR,36.0625843,-94.1574328,92150,8
Medical and Health Services Manager,Fayetteville,AR,36.0625843,-94.1574328,0,0
IT Manager,Fayetteville,AR,36.0625843,-94.1574328,74957,30
Registered Nurse,Fayetteville,AR,36.0625843,-94.1574328,31.13,283
Mathematician,Fayetteville,AR,36.0625843,-94.1574328,0,0
Physical Therapist,Fayetteville,AR,36.0625843,-94.1574328,84025,25
Optometrist,Fayetteville,AR,36.0625843,-94.1574328,99242,1
Anesthesiologist,Fayetteville,AR,36.0625843,-94.1574328,173251,4
Obstetrician and Gynecologist,Fayetteville,AR,36.0625843,-94.1574328,0,0
Surgeon,Fayetteville,AR,36.0625843,-94.1574328,0,37
Operations Research Analyst,Fayetteville,AR,36.0625843,-94.1574328,0,16
Nurse Anesthetist,Fayetteville,AR,36.0625843,-94.1574328,0,1
Pediatrician,Fayetteville,AR,36.0625843,-94.1574328,108791,2
Web Developer,Fayetteville,AR,36.0625843,-94.1574328,108317,43
Dental Hygienist,Fayetteville,AR,36.0625843,-94.1574328,33.13,3
Genetic Counselor,Fayetteville,AR,36.0625843,-94.1574328,0,1
Physical Therapist Assistant,Fayetteville,AR,36.0625843,-94.1574328,26.77,4
Financial Manager,Fayetteville,AR,36.0625843,-94.1574328,0,20
Occupational Therapist,Fayetteville,AR,36.0625843,-94.1574328,73085,12
Psychologist,Fayetteville,AR,36.0625843,-94.1574328,97601,3
Database Administrator,Fayetteville,AR,36.0625843,-94.1574328,29251,5
Financial Advisor,Fayetteville,AR,36.0625843,-94.1574328,57610,25
Mechanical Engineer,Fayetteville,AR,36.0625843,-94.1574328,67983,57
Civil Engineer,Fayetteville,AR,36.0625843,-94.1574328,69005,46
Psychiatrist,Fayetteville,AR,36.0625843,-94.1574328,253964,9
Substance Abuse and Behavioral Disorder Counselor,Fayetteville,AR,36.0625843,-94.1574328,0,0
School Psychologist,Fayetteville,AR,36.0625843,-94.1574328,69775,4
Home Health Aide,Fayetteville,AR,36.0625843,-94.1574328,11.33,25
Information Security Analyst,Fayetteville,AR,36.0625843,-94.1574328,42689,32
Pilot,Fayetteville,AR,36.0625843,-94.1574328,58710,16
Respiratory Therapist,Fayetteville,AR,36.0625843,-94.1574328,23.53,37
Diagnostic Medical Sonographer,Fayetteville,AR,36.0625843,-94.1574328,0,2
Accountant,Fayetteville,AR,36.0625843,-94.1574328,37091,39
Market Research Analyst,Fayetteville,AR,36.0625843,-94.1574328,0,1
Business Operations Manager,Fayetteville,AR,36.0625843,-94.1574328,0,37
Marketing Manager,Fayetteville,AR,36.0625843,-94.1574328,53107,43
Industrial Psychologist,Fayetteville,AR,36.0625843,-94.1574328,0,0
Podiatrist,Fayetteville,AR,36.0625843,-94.1574328,0,0
Environmental Engineer,Fayetteville,AR,36.0625843,-94.1574328,0,28
Social and Community Service Manager,Fayetteville,AR,36.0625843,-94.1574328,0,2
Lawyer,Fayetteville,AR,36.0625843,-94.1574328,67413,9
Marriage and Family Therapist,Fayetteville,AR,36.0625843,-94.1574328,0,1
Medical Assistant,Fayetteville,AR,36.0625843,-94.1574328,13.47,52
Data Analyst,Fayetteville,AR,36.0625843,-94.1574328,54929,106
Actuary,Fayetteville,AR,36.0625843,-94.1574328,94143,0
Medical Records Technician,Fayetteville,AR,36.0625843,-94.1574328,0,58
Prosthodontist,Fayetteville,AR,36.0625843,-94.1574328,0,0
Construction Manager,Fayetteville,AR,36.0625843,-94.1574328,64335,94
Veterinary Technologist and Technician,Fayetteville,AR,36.0625843,-94.1574328,0,0
Landscaper and Groundskeeper,Fayetteville,AR,36.0625843,-94.1574328,0,0
Computer Network Architect,Fayetteville,AR,36.0625843,-94.1574328,0,5
Orthotist and Prosthetist,Fayetteville,AR,36.0625843,-94.1574328,0,0
Personal Care Aide,Fayetteville,AR,36.0625843,-94.1574328,0,36
Computer Systems Administrator,Fayetteville,AR,36.0625843,-94.1574328,0,19
Massage Therapist,Fayetteville,AR,36.0625843,-94.1574328,29.63,13
Cartographer,Fayetteville,AR,36.0625843,-94.1574328,0,0
Dental Assistant,Fayetteville,AR,36.0625843,-94.1574328,17.02,5
Management Analyst,Fayetteville,AR,36.0625843,-94.1574328,0,1
Solar Photovoltaic Installer,Fayetteville,AR,36.0625843,-94.1574328,0,2
Physical Therapist Aide,Fayetteville,AR,36.0625843,-94.1574328,0,3
Occupational Therapy Assistant,Fayetteville,AR,36.0625843,-94.1574328,0,6
Mental Health Counselor,Fayetteville,AR,36.0625843,-94.1574328,0,7
Environmental Engineering Technician,Fayetteville,AR,36.0625843,-94.1574328,0,7
Nail Technician,Fayetteville,AR,36.0625843,-94.1574328,17.51,0
Plumber,Fayetteville,AR,36.0625843,-94.1574328,19.59,7
Radiologic Technologist,Fayetteville,AR,36.0625843,-94.1574328,0,30
MRI Technologist,Fayetteville,AR,36.0625843,-94.1574328,33.76,2
Chiropractor,Fayetteville,AR,36.0625843,-94.1574328,53268,3
Cost Estimator,Fayetteville,AR,36.0625843,-94.1574328,0,8
Financial Analyst,Fayetteville,AR,36.0625843,-94.1574328,34042,26
Insurance Sales Agent,Fayetteville,AR,36.0625843,-94.1574328,0,2
School Counselor,Fayetteville,AR,36.0625843,-94.1574328,18.06,18
Nurse Midwife,Fayetteville,AR,36.0625843,-94.1574328,0,1
Paralegal,Fayetteville,AR,36.0625843,-94.1574328,39005,1
Phlebotomist,Fayetteville,AR,36.0625843,-94.1574328,15.32,12
Loan Officer,Fayetteville,AR,36.0625843,-94.1574328,66742,10
Clinical Social Worker,Fayetteville,AR,36.0625843,-94.1574328,0,4
Compliance Officer,Fayetteville,AR,36.0625843,-94.1574328,50273,1
Dietitian and Nutritionist,Fayetteville,AR,36.0625843,-94.1574328,0,0
Ophthalmic Medical Technician,Fayetteville,AR,36.0625843,-94.1574328,0,1
Clinical Laboratory Technician,Fayetteville,AR,36.0625843,-94.1574328,0,5
Licensed Practical and Licensed Vocational Nurse,Fayetteville,AR,36.0625843,-94.1574328,0,0
Electrician,Fayetteville,AR,36.0625843,-94.1574328,26.94,41
HR Specialist,Fayetteville,AR,36.0625843,-94.1574328,0,5
Wind Turbine Technician,Fayetteville,AR,36.0625843,-94.1574328,0,0
Logistician,Fayetteville,AR,36.0625843,-94.1574328,0,0
Residential Advisor,Fayetteville,AR,36.0625843,-94.1574328,0,1
Optician,Fayetteville,AR,36.0625843,-94.1574328,16.09,2
Computer Support Specialist,Fayetteville,AR,36.0625843,-94.1574328,0,41
Esthetician and Skincare Specialist,Fayetteville,AR,36.0625843,-94.1574328,0,0
Restaurant Cook,Fayetteville,AR,36.0625843,-94.1574328,0,128
Software Engineer,Madison,WI,43.074761,-89.3837613,104187,497
Dentist,Madison,WI,43.074761,-89.3837613,179305,11
Physician Assistant,Madison,WI,43.074761,-89.3837613,97880,129
Orthodontist,Madison,WI,43.074761,-89.3837613,0,4
Nurse Practitioner,Madison,WI,43.074761,-89.3837613,111907,47
Statistician,Madison,WI,43.074761,-89.3837613,0,2
Physician,Madison,WI,43.074761,-89.3837613,206422,126
Speech Language Pathologist,Madison,WI,43.074761,-89.3837613,29,30
Oral and Maxillofacial Surgeon,Madison,WI,43.074761,-89.3837613,0,0
Veterinarian,Madison,WI,43.074761,-89.3837613,93335,10
Medical and Health Services Manager,Madison,WI,43.074761,-89.3837613,0,0
IT Manager,Madison,WI,43.074761,-89.3837613,85067,93
Registered Nurse,Madison,WI,43.074761,-89.3837613,39.88,589
Mathematician,Madison,WI,43.074761,-89.3837613,0,0
Physical Therapist,Madison,WI,43.074761,-89.3837613,90362,109
Optometrist,Madison,WI,43.074761,-89.3837613,150418,19
Anesthesiologist,Madison,WI,43.074761,-89.3837613,196618,10
Obstetrician and Gynecologist,Madison,WI,43.074761,-89.3837613,0,0
Surgeon,Madison,WI,43.074761,-89.3837613,0,42
Operations Research Analyst,Madison,WI,43.074761,-89.3837613,0,1
Nurse Anesthetist,Madison,WI,43.074761,-89.3837613,0,4
Pediatrician,Madison,WI,43.074761,-89.3837613,113244,4
Web Developer,Madison,WI,43.074761,-89.3837613,102254,90
Dental Hygienist,Madison,WI,43.074761,-89.3837613,33.25,19
Genetic Counselor,Madison,WI,43.074761,-89.3837613,0,7
Physical Therapist Assistant,Madison,WI,43.074761,-89.3837613,30.38,53
Financial Manager,Madison,WI,43.074761,-89.3837613,0,2
Occupational Therapist,Madison,WI,43.074761,-89.3837613,62879,86
Psychologist,Madison,WI,43.074761,-89.3837613,96173,23
Database Administrator,Madison,WI,43.074761,-89.3837613,76599,49
Financial Advisor,Madison,WI,43.074761,-89.3837613,81946,75
Mechanical Engineer,Madison,WI,43.074761,-89.3837613,87946,139
Civil Engineer,Madison,WI,43.074761,-89.3837613,78312,62
Psychiatrist,Madison,WI,43.074761,-89.3837613,220355,27
Substance Abuse and Behavioral Disorder Counselor,Madison,WI,43.074761,-89.3837613,0,0
School Psychologist,Madison,WI,43.074761,-89.3837613,79186,1
Home Health Aide,Madison,WI,43.074761,-89.3837613,28.86,81
Information Security Analyst,Madison,WI,43.074761,-89.3837613,86764,42
Pilot,Madison,WI,43.074761,-89.3837613,66628,42
Respiratory Therapist,Madison,WI,43.074761,-89.3837613,41.78,46
Diagnostic Medical Sonographer,Madison,WI,43.074761,-89.3837613,0,1
Accountant,Madison,WI,43.074761,-89.3837613,57410,68
Market Research Analyst,Madison,WI,43.074761,-89.3837613,0,21
Business Operations Manager,Madison,WI,43.074761,-89.3837613,0,34
Marketing Manager,Madison,WI,43.074761,-89.3837613,93237,68
Industrial Psychologist,Madison,WI,43.074761,-89.3837613,0,1
Podiatrist,Madison,WI,43.074761,-89.3837613,0,3
Environmental Engineer,Madison,WI,43.074761,-89.3837613,0,65
Social and Community Service Manager,Madison,WI,43.074761,-89.3837613,0,3
Lawyer,Madison,WI,43.074761,-89.3837613,76505,8
Marriage and Family Therapist,Madison,WI,43.074761,-89.3837613,0,12
Medical Assistant,Madison,WI,43.074761,-89.3837613,21,179
Data Analyst,Madison,WI,43.074761,-89.3837613,101206,194
Actuary,Madison,WI,43.074761,-89.3837613,100682,2
Medical Records Technician,Madison,WI,43.074761,-89.3837613,0,147
Prosthodontist,Madison,WI,43.074761,-89.3837613,0,0
Construction Manager,Madison,WI,43.074761,-89.3837613,73013,167
Veterinary Technologist and Technician,Madison,WI,43.074761,-89.3837613,0,0
Landscaper and Groundskeeper,Madison,WI,43.074761,-89.3837613,0,0
Computer Network Architect,Madison,WI,43.074761,-89.3837613,0,13
Orthotist and Prosthetist,Madison,WI,43.074761,-89.3837613,0,0
Personal Care Aide,Madison,WI,43.074761,-89.3837613,0,32
Computer Systems Administrator,Madison,WI,43.074761,-89.3837613,0,60
Massage Therapist,Madison,WI,43.074761,-89.3837613,32.99,19
Cartographer,Madison,WI,43.074761,-89.3837613,0,0
Dental Assistant,Madison,WI,43.074761,-89.3837613,17.14,22
Management Analyst,Madison,WI,43.074761,-89.3837613,0,2
Solar Photovoltaic Installer,Madison,WI,43.074761,-89.3837613,0,0
Physical Therapist Aide,Madison,WI,43.074761,-89.3837613,0,7
Occupational Therapy Assistant,Madison,WI,43.074761,-89.3837613,0,73
Mental Health Counselor,Madison,WI,43.074761,-89.3837613,0,30
Environmental Engineering Technician,Madison,WI,43.074761,-89.3837613,0,24
Nail Technician,Madison,WI,43.074761,-89.3837613,13.69,6
Plumber,Madison,WI,43.074761,-89.3837613,30.54,15
Radiologic Technologist,Madison,WI,43.074761,-89.3837613,0,26
MRI Technologist,Madison,WI,43.074761,-89.3837613,38.32,1
Chiropractor,Madison,WI,43.074761,-89.3837613,60434,1
Cost Estimator,Madison,WI,43.074761,-89.3837613,0,7
Financial Analyst,Madison,WI,43.074761,-89.3837613,67183,77
Insurance Sales Agent,Madison,WI,43.074761,-89.3837613,0,8
School Counselor,Madison,WI,43.074761,-89.3837613,20.5,41
Nurse Midwife,Madison,WI,43.074761,-89.3837613,0,1
Paralegal,Madison,WI,43.074761,-89.3837613,43313,3
Phlebotomist,Madison,WI,43.074761,-89.3837613,14.71,28
Loan Officer,Madison,WI,43.074761,-89.3837613,60645,9
Clinical Social Worker,Madison,WI,43.074761,-89.3837613,0,14
Compliance Officer,Madison,WI,43.074761,-89.3837613,68744,5
Dietitian and Nutritionist,Madison,WI,43.074761,-89.3837613,0,0
Ophthalmic Medical Technician,Madison,WI,43.074761,-89.3837613,0,3
Clinical Laboratory Technician,Madison,WI,43.074761,-89.3837613,0,17
Licensed Practical and Licensed Vocational Nurse,Madison,WI,43.074761,-89.3837613,0,0
Electrician,Madison,WI,43.074761,-89.3837613,25.07,21
HR Specialist,Madison,WI,43.074761,-89.3837613,0,64
Wind Turbine Technician,Madison,WI,43.074761,-89.3837613,0,0
Logistician,Madison,WI,43.074761,-89.3837613,0,0
Residential Advisor,Madison,WI,43.074761,-89.3837613,0,3
Optician,Madison,WI,43.074761,-89.3837613,12.9,6
Computer Support Specialist,Madison,WI,43.074761,-89.3837613,0,127
Esthetician and Skincare Specialist,Madison,WI,43.074761,-89.3837613,0,0
Restaurant Cook,Madison,WI,43.074761,-89.3837613,0,190
Software Engineer,Huntsville,AL,33.554113,-86.804219,95188,"1,247"
Dentist,Huntsville,AL,33.554113,-86.804219,145989,6
Physician Assistant,Huntsville,AL,33.554113,-86.804219,93351,30
Orthodontist,Huntsville,AL,33.554113,-86.804219,0,2
Nurse Practitioner,Huntsville,AL,33.554113,-86.804219,109240,11
Statistician,Huntsville,AL,33.554113,-86.804219,0,1
Physician,Huntsville,AL,33.554113,-86.804219,53372,12
Speech Language Pathologist,Huntsville,AL,33.554113,-86.804219,36.9,7
Oral and Maxillofacial Surgeon,Huntsville,AL,33.554113,-86.804219,0,0
Veterinarian,Huntsville,AL,33.554113,-86.804219,99739,6
Medical and Health Services Manager,Huntsville,AL,33.554113,-86.804219,0,0
IT Manager,Huntsville,AL,33.554113,-86.804219,75000,113
Registered Nurse,Huntsville,AL,33.554113,-86.804219,24.55,160
Mathematician,Huntsville,AL,33.554113,-86.804219,0,3
Physical Therapist,Huntsville,AL,33.554113,-86.804219,82872,24
Optometrist,Huntsville,AL,33.554113,-86.804219,107416,17
Anesthesiologist,Huntsville,AL,33.554113,-86.804219,187520,2
Obstetrician and Gynecologist,Huntsville,AL,33.554113,-86.804219,0,0
Surgeon,Huntsville,AL,33.554113,-86.804219,0,3
Operations Research Analyst,Huntsville,AL,33.554113,-86.804219,0,4
Nurse Anesthetist,Huntsville,AL,33.554113,-86.804219,0,0
Pediatrician,Huntsville,AL,33.554113,-86.804219,117751,1
Web Developer,Huntsville,AL,33.554113,-86.804219,59790,92
Dental Hygienist,Huntsville,AL,33.554113,-86.804219,35.86,5
Genetic Counselor,Huntsville,AL,33.554113,-86.804219,0,2
Physical Therapist Assistant,Huntsville,AL,33.554113,-86.804219,28.97,6
Financial Manager,Huntsville,AL,33.554113,-86.804219,0,5
Occupational Therapist,Huntsville,AL,33.554113,-86.804219,88353,2
Psychologist,Huntsville,AL,33.554113,-86.804219,101270,4
Database Administrator,Huntsville,AL,33.554113,-86.804219,82549,60
Financial Advisor,Huntsville,AL,33.554113,-86.804219,62355,37
Mechanical Engineer,Huntsville,AL,33.554113,-86.804219,93078,442
Civil Engineer,Huntsville,AL,33.554113,-86.804219,74689,88
Psychiatrist,Huntsville,AL,33.554113,-86.804219,167017,6
Substance Abuse and Behavioral Disorder Counselor,Huntsville,AL,33.554113,-86.804219,0,0
School Psychologist,Huntsville,AL,33.554113,-86.804219,75522,1
Home Health Aide,Huntsville,AL,33.554113,-86.804219,9.63,70
Information Security Analyst,Huntsville,AL,33.554113,-86.804219,82749,273
Pilot,Huntsville,AL,33.554113,-86.804219,63545,47
Respiratory Therapist,Huntsville,AL,33.554113,-86.804219,31.33,10
Diagnostic Medical Sonographer,Huntsville,AL,33.554113,-86.804219,0,0
Accountant,Huntsville,AL,33.554113,-86.804219,53360,44
Market Research Analyst,Huntsville,AL,33.554113,-86.804219,0,21
Business Operations Manager,Huntsville,AL,33.554113,-86.804219,0,33
Marketing Manager,Huntsville,AL,33.554113,-86.804219,57481,10
Industrial Psychologist,Huntsville,AL,33.554113,-86.804219,0,0
Podiatrist,Huntsville,AL,33.554113,-86.804219,0,0
Environmental Engineer,Huntsville,AL,33.554113,-86.804219,0,80
Social and Community Service Manager,Huntsville,AL,33.554113,-86.804219,0,7
Lawyer,Huntsville,AL,33.554113,-86.804219,72965,3
Marriage and Family Therapist,Huntsville,AL,33.554113,-86.804219,0,3
Medical Assistant,Huntsville,AL,33.554113,-86.804219,12.19,22
Data Analyst,Huntsville,AL,33.554113,-86.804219,58498,379
Actuary,Huntsville,AL,33.554113,-86.804219,101896,0
Medical Records Technician,Huntsville,AL,33.554113,-86.804219,0,60
Prosthodontist,Huntsville,AL,33.554113,-86.804219,0,0
Construction Manager,Huntsville,AL,33.554113,-86.804219,63423,138
Veterinary Technologist and Technician,Huntsville,AL,33.554113,-86.804219,0,0
Landscaper and Groundskeeper,Huntsville,AL,33.554113,-86.804219,0,0
Computer Network Architect,Huntsville,AL,33.554113,-86.804219,0,3
Orthotist and Prosthetist,Huntsville,AL,33.554113,-86.804219,0,0
Personal Care Aide,Huntsville,AL,33.554113,-86.804219,0,66
Computer Systems Administrator,Huntsville,AL,33.554113,-86.804219,0,136
Massage Therapist,Huntsville,AL,33.554113,-86.804219,29.22,11
Cartographer,Huntsville,AL,33.554113,-86.804219,0,0
Dental Assistant,Huntsville,AL,33.554113,-86.804219,18.42,18
Management Analyst,Huntsville,AL,33.554113,-86.804219,0,22
Solar Photovoltaic Installer,Huntsville,AL,33.554113,-86.804219,0,0
Physical Therapist Aide,Huntsville,AL,33.554113,-86.804219,0,6
Occupational Therapy Assistant,Huntsville,AL,33.554113,-86.804219,0,19
Mental Health Counselor,Huntsville,AL,33.554113,-86.804219,0,7
Environmental Engineering Technician,Huntsville,AL,33.554113,-86.804219,0,13
Nail Technician,Huntsville,AL,33.554113,-86.804219,18.96,1
Plumber,Huntsville,AL,33.554113,-86.804219,22.95,16
Radiologic Technologist,Huntsville,AL,33.554113,-86.804219,0,2
MRI Technologist,Huntsville,AL,33.554113,-86.804219,23.37,2
Chiropractor,Huntsville,AL,33.554113,-86.804219,57655,1
Cost Estimator,Huntsville,AL,33.554113,-86.804219,0,6
Financial Analyst,Huntsville,AL,33.554113,-86.804219,64820,105
Insurance Sales Agent,Huntsville,AL,33.554113,-86.804219,0,6
School Counselor,Huntsville,AL,33.554113,-86.804219,19.55,13
Nurse Midwife,Huntsville,AL,33.554113,-86.804219,0,0
Paralegal,Huntsville,AL,33.554113,-86.804219,42217,4
Phlebotomist,Huntsville,AL,33.554113,-86.804219,11.14,11
Loan Officer,Huntsville,AL,33.554113,-86.804219,72239,9
Clinical Social Worker,Huntsville,AL,33.554113,-86.804219,0,3
Compliance Officer,Huntsville,AL,33.554113,-86.804219,54414,7
Dietitian and Nutritionist,Huntsville,AL,33.554113,-86.804219,0,0
Ophthalmic Medical Technician,Huntsville,AL,33.554113,-86.804219,0,1
Clinical Laboratory Technician,Huntsville,AL,33.554113,-86.804219,0,2
Licensed Practical and Licensed Vocational Nurse,Huntsville,AL,33.554113,-86.804219,0,0
Electrician,Huntsville,AL,33.554113,-86.804219,28.46,24
HR Specialist,Huntsville,AL,33.554113,-86.804219,0,21
Wind Turbine Technician,Huntsville,AL,33.554113,-86.804219,0,0
Logistician,Huntsville,AL,33.554113,-86.804219,0,26
Residential Advisor,Huntsville,AL,33.554113,-86.804219,0,0
Optician,Huntsville,AL,33.554113,-86.804219,17.41,1
Computer Support Specialist,Huntsville,AL,33.554113,-86.804219,0,3
Esthetician and Skincare Specialist,Huntsville,AL,33.554113,-86.804219,0,0
Restaurant Cook,Huntsville,AL,33.554113,-86.804219,0,97
Software Engineer,Denver,CO,39.7348381,-104.9653271,120302,"4,129"
Dentist,Denver,CO,39.7348381,-104.9653271,210521,46
